size,time,k
113.0,0.00034247743999912925,1.0
114.0,0.00037341362999995906,1.0
115.0,0.0003772663799963993,1.0
116.0,0.00035621399999854477,1.0
117.0,0.00037750632999632215,1.0
118.0,0.0003725292700028149,1.0
119.0,0.0003564952299984725,1.0
120.0,0.00038244200000008276,1.0
121.0,0.0003752643999996508,1.0
122.0,0.0003655623999975433,1.0
123.0,0.00042951968000124905,1.0
124.0,0.00040059308999843777,1.0
125.0,0.0004079875200022798,1.0
126.0,0.0004341667999960919,1.0
127.0,0.00037651498000286667,1.0
128.0,0.0003783349800005453,1.0
129.0,0.0004033674099991913,1.0
130.0,0.0004893250900022395,1.0
131.0,0.0005020875600030195,1.0
132.0,0.000551119890001246,1.0
133.0,0.0005143709200001467,1.0
134.0,0.0004968612700031372,1.0
135.0,0.0005500834800022858,1.0
136.0,0.0006715193699983502,1.0
137.0,0.0005535203899989938,1.0
138.0,0.0005154554599994299,1.0
139.0,0.0004933709399983855,1.0
140.0,0.0005153545699977258,1.0
141.0,0.0005444247100012945,1.0
142.0,0.0005844194000019342,1.0
143.0,0.0005446982500006925,1.0
144.0,0.0005645690300025307,1.0
145.0,0.000532242879999103,1.0
146.0,0.0005434826799955772,1.0
147.0,0.0005452007300027617,1.0
148.0,0.0005571254899996347,1.0
149.0,0.0005715246899990234,1.0
150.0,0.0005641930199999478,1.0
151.0,0.0005489173199975994,1.0
152.0,0.000545534940001744,1.0
153.0,0.0005598085700012234,1.0
154.0,0.0005694357200036393,1.0
155.0,0.0005605114000036337,1.0
156.0,0.000541427430002841,1.0
157.0,0.0005650318400012111,1.0
158.0,0.0005454053699986616,1.0
159.0,0.0005807792100040388,1.0
160.0,0.0005780906600011804,1.0
161.0,0.0005831981099981931,1.0
162.0,0.0005769378700006201,1.0
163.0,0.0005717695600014849,1.0
164.0,0.0005849023900009342,1.0
165.0,0.0005760990799990396,1.0
166.0,0.0005844582700001411,1.0
167.0,0.0005929838099973494,1.0
168.0,0.0005720136599984471,1.0
169.0,0.0005855869500010158,1.0
170.0,0.0005799668000008751,1.0
171.0,0.0006196622399966145,1.0
172.0,0.0005938341099999888,1.0
173.0,0.0005893008599969108,1.0
174.0,0.0005961892899995292,1.0
175.0,0.0006217860800006747,1.0
176.0,0.0006069674700029282,1.0
177.0,0.0006132130699961635,1.0
178.0,0.0006131856100000732,1.0
179.0,0.0006418695100001059,1.0
180.0,0.0005940459600014947,1.0
181.0,0.0006510011899990787,1.0
182.0,0.0006332676100009849,1.0
183.0,0.0006197803899976862,1.0
184.0,0.0006129601599968737,1.0
185.0,0.0006140519500013398,1.0
186.0,0.0006332680100013022,1.0
187.0,0.0006607296799984397,1.0
188.0,0.0006087925500014535,1.0
189.0,0.0006705316299985498,1.0
190.0,0.0006456071200000224,1.0
191.0,0.0006525690799981021,1.0
192.0,0.0006196086999989348,1.0
193.0,0.0006541974399988248,1.0
194.0,0.0006677566400003343,1.0
195.0,0.0006628116899992164,1.0
196.0,0.0006446408500005419,1.0
197.0,0.000654271310004333,1.0
198.0,0.0006529621099980432,1.0
199.0,0.000674522959998285,1.0
200.0,0.0006411733999993885,1.0
201.0,0.0006712931500032937,1.0
202.0,0.0006661960699966585,1.0
203.0,0.0006922107800028243,1.0
204.0,0.0006774333000021215,1.0
205.0,0.0006603240200001892,1.0
206.0,0.0006883546800008844,1.0
207.0,0.0007014464700023381,1.0
208.0,0.0006714944499981357,1.0
209.0,0.0006994549599994571,1.0
210.0,0.0006937109699993016,1.0
211.0,0.0007355214499966678,1.0
212.0,0.0006823568200024965,1.0
213.0,0.0007162185200013482,1.0
214.0,0.000712945039999795,1.0
215.0,0.0006996820799986381,1.0
216.0,0.0007182725800021217,1.0
217.0,0.0007067643800019141,1.0
218.0,0.0007072567699970022,1.0
219.0,0.0007424794999997175,1.0
220.0,0.0007049779400040279,1.0
221.0,0.0007275015999994138,1.0
222.0,0.0007053859999996349,1.0
223.0,0.0007795317499994781,1.0
224.0,0.0007336389800002508,1.0
225.0,0.0007576148299995112,1.0
226.0,0.00073601318999863,1.0
227.0,0.0007400209400020686,1.0
228.0,0.0008446562700009963,1.0
229.0,0.0007656093400009922,1.0
230.0,0.0007275951800011171,1.0
231.0,0.0007372115799989843,1.0
232.0,0.0007337756299966714,1.0
233.0,0.000757749839999633,1.0
234.0,0.0007956675500008715,1.0
235.0,0.0007645190299990645,1.0
236.0,0.0007610410500001308,1.0
237.0,0.0007562710199999856,1.0
