K,k,size,accuracy,precision,recall,f1
10.0,1.0,170.0,0.7058823529411765,0.6470588235294118,0.7058823529411765,0.6526610644257703
10.0,1.0,170.0,0.7647058823529411,0.707843137254902,0.7647058823529411,0.7091503267973857
10.0,1.0,170.0,0.6470588235294118,0.872549019607843,0.6470588235294118,0.6820728291316527
10.0,1.0,170.0,0.6470588235294118,0.6352941176470589,0.6470588235294118,0.6201680672268909
10.0,1.0,180.0,0.6111111111111112,0.7222222222222222,0.6111111111111112,0.6100529100529101
10.0,1.0,180.0,0.4444444444444444,0.4768518518518518,0.4444444444444444,0.4444444444444444
10.0,1.0,180.0,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222
10.0,1.0,180.0,0.8333333333333334,0.9629629629629631,0.8333333333333334,0.8648148148148148
10.0,1.0,180.0,0.7222222222222222,0.7296296296296296,0.7222222222222222,0.6953703703703703
10.0,1.0,180.0,0.7222222222222222,0.7685185185185185,0.7222222222222222,0.7238095238095238
10.0,1.0,180.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
10.0,1.0,180.0,0.6111111111111112,0.5861111111111111,0.6111111111111112,0.5304232804232804
10.0,1.0,180.0,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.58505291005291
10.0,1.0,180.0,0.6111111111111112,0.6944444444444444,0.6111111111111112,0.6370370370370371
10.0,1.0,190.0,0.631578947368421,0.618421052631579,0.631578947368421,0.5914786967418546
10.0,1.0,190.0,0.631578947368421,0.6228070175438596,0.631578947368421,0.6095238095238095
10.0,1.0,190.0,0.631578947368421,0.6929824561403508,0.631578947368421,0.6290726817042607
10.0,1.0,190.0,0.6842105263157895,0.9473684210526315,0.6842105263157895,0.775438596491228
10.0,1.0,190.0,0.7894736842105263,0.8245614035087719,0.7894736842105263,0.7857142857142857
10.0,1.0,190.0,0.6842105263157895,0.6666666666666666,0.6842105263157895,0.6578947368421053
10.0,1.0,190.0,0.6842105263157895,0.7807017543859649,0.6842105263157895,0.7017543859649124
10.0,1.0,190.0,0.7368421052631579,0.719298245614035,0.7368421052631579,0.6982456140350878
10.0,1.0,190.0,0.5789473684210527,0.6263157894736843,0.5789473684210527,0.5859649122807017
10.0,1.0,190.0,0.5263157894736842,0.7368421052631579,0.5263157894736842,0.599498746867168
10.0,1.0,200.0,0.5,0.6511904761904762,0.5,0.5
10.0,1.0,200.0,0.65,0.75,0.65,0.6833333333333333
10.0,1.0,200.0,0.55,0.495,0.55,0.47023809523809523
10.0,1.0,200.0,0.55,0.5083333333333333,0.55,0.51
10.0,1.0,200.0,0.6,0.6375,0.6,0.575952380952381
10.0,1.0,200.0,0.55,0.6333333333333333,0.55,0.5216666666666667
10.0,1.0,200.0,0.6,0.7166666666666667,0.6,0.575
10.0,1.0,200.0,0.7,0.7833333333333333,0.7,0.7276190476190476
10.0,1.0,200.0,0.6,0.7416666666666666,0.6,0.6133333333333333
10.0,1.0,200.0,0.65,0.7833333333333333,0.65,0.6741666666666667
10.0,1.0,210.0,0.6666666666666666,0.7698412698412698,0.6666666666666666,0.6820861678004536
10.0,1.0,210.0,0.6190476190476191,0.7023809523809523,0.6190476190476191,0.6317460317460317
