x,y,z
6.0983744,3.2121472,6.1374617
1.8432503,-0.55342716,11.641334
8.160989,7.1785226,9.968409
6.208637,0.8723343,7.703785
10.30593,6.508546,10.625857
4.757758,-0.122436576,0.2216822
12.802981,3.567615,9.463826
9.71767,1.2146693,10.939643
9.338738,1.3921498,10.621505
4.119098,-0.01727281,-1.3125219
5.247914,1.0415639,13.418193
4.4604893,6.7443814,4.783307
1.2013851,12.457086,3.0123014
7.711346,0.60109115,5.0910473
9.610528,4.9926386,9.314284
3.191955,5.2119126,0.63667995
9.854982,5.603756,12.120844
-0.350946,10.504223,2.406019
11.225178,5.9527693,9.464725
11.83838,2.8706803,11.577655
10.26023,5.9273014,8.604824
10.0846,0.9743056,9.801337
10.379788,0.8574622,9.763231
9.398961,6.408405,11.93985
10.459436,2.4738467,10.472265
8.839576,3.8085485,12.284622
8.645764,4.069445,9.896556
3.8690372,-0.37197992,-1.1087383
4.586457,0.29132834,-2.8843403
9.250061,4.658919,9.746406
-0.5723603,10.288203,2.1043923
12.850951,3.6829894,9.514414
6.1721816,2.5404165,7.073994
5.4778924,0.73556656,-0.73627806
7.3767004,0.5953319,10.758754
5.9084716,0.9361211,4.1053143
9.237479,1.8323629,9.664051
3.3893733,6.51523,1.3100334
6.5242233,1.9238187,8.251312
10.285956,2.8514085,11.093664
10.793044,5.055898,12.913738
6.8956137,5.738798,9.696343
6.805517,0.8004435,3.2539315
10.976218,1.9572003,11.876411
7.307896,2.975762,4.7319746
8.38928,7.2284083,10.319733
7.392771,-0.072109506,3.681369
10.603179,4.0806723,12.370266
11.918905,4.250523,10.581268
11.022019,1.7873521,11.26968
10.685927,4.822422,11.480391
9.38164,4.9129953,12.088802
11.237045,2.8275938,8.15125
8.377725,2.0012252,4.006859
6.9201803,2.2827573,4.9303703
8.410107,4.2303243,9.834467
-2.8123,-2.7620957,1.073345
3.58825,6.0872426,-0.8317847
13.022447,5.071815,9.230668
13.240042,3.495781,12.162862
8.991485,4.8436737,11.131134
7.9100103,2.2793262,7.3752303
-0.5514951,10.477758,2.2937129
5.3085113,-1.5404484,3.9148808
12.655459,3.421355,9.359809
8.448995,2.6588275,9.199372
10.678382,4.08545,11.193307
8.2081375,2.3245337,7.4078207
2.6935875,0.5030451,15.371836
6.969485,2.136078,5.929317
6.2970233,-1.5866319,4.2344003
8.462729,3.440636,7.9506025
11.528344,3.0165732,11.392449
7.9410458,-1.3789604,6.754333
6.6929507,0.94282275,3.1069384
3.8080373,3.15902,0.6694642
10.539272,2.5534256,12.579125
2.1222816,1.0384539,14.801543
6.20671,3.8942866,5.855787
6.4861646,3.355776,1.8806987
5.175294,-0.6282895,-2.5892098
6.3113008,1.5062858,7.9875584
9.670331,1.5701287,13.269683
12.421458,4.3746758,11.660139
5.7299414,0.89758545,3.7538576
5.7137585,3.3491294,2.5468812
10.420115,4.7871575,11.392961
7.0392914,7.760778,10.7175865
11.171054,4.2175403,13.093374
12.20662,4.643379,10.759149
7.4590106,7.9246264,7.909936
10.866502,4.720636,12.121603
1.6310576,5.5537434,3.1873908
7.3371468,2.0237837,2.2510884
10.020328,4.29724,13.017044
11.374037,3.0094876,13.423332
2.9329917,-1.3093474,6.614917
10.52767,0.77818984,9.899745
12.739324,4.171866,9.722507
2.2905285,8.349016,8.069493
4.1421585,3.8820739,3.5174067
7.813536,3.6956813,11.804655
5.1306067,-0.22520632,-0.37697047
11.842478,2.8545356,11.63997
8.148933,2.0195255,13.55212
12.28907,5.096103,9.306937
5.2200713,-1.364433,1.7973481
8.505167,2.4218514,11.5385475
7.591235,0.60307264,0.57688725
10.2205925,4.9876757,11.391156
8.149102,3.09534,6.711595
7.983871,4.221647,11.312048
5.3982515,2.8958857,5.491639
13.410956,3.218646,12.469339
6.636939,3.355196,5.8263674
5.962638,3.8603811,5.9826674
9.222595,6.2690773,7.4432154
10.189464,2.011725,12.816572
13.11679,5.0608873,10.464274
1.2021718,0.8735904,13.770183
4.4255576,3.4011824,7.492105
3.5172088,0.54789364,-1.5323645
8.290317,7.999237,9.741043
6.413317,5.1557345,5.30371
9.152951,6.000811,12.032179
12.428809,5.05554,9.400642
5.917019,0.5955311,1.4553673
8.752849,3.476648,13.544423
3.811858,8.629882,5.0668817
5.452494,10.076041,7.497774
6.6374855,0.99508744,4.8484473
6.82279,1.2896317,3.2614622
11.440792,3.3009348,9.48863
7.885706,3.0211768,5.7522426
7.0195885,6.137876,10.180278
6.017251,-0.55274034,-0.6582339
8.138935,1.5177209,7.726456
5.9357443,3.3800101,7.1950126
4.419214,-1.0280657,0.5679049
6.147795,5.2956753,4.802829
4.1963816,-0.27362028,1.3154378
7.927549,-1.4474566,6.786838
5.5359707,0.71811897,0.10791046
10.224617,4.445192,12.669467
4.3248916,-0.4502462,-1.9501953
4.7612877,0.38244137,0.46415338
9.157332,6.253128,7.3514194
4.940704,2.0524795,-2.336104
8.838833,7.075899,10.859362
7.5432477,1.0033417,9.322945
7.363422,2.566165,7.3908343
10.23142,4.0972548,11.629155
6.5389423,6.2105145,10.554659
