K,k,size,accuracy,precision,recall,f1
10.0,18.0,180.0,0.3888888888888889,0.5,0.3888888888888889,0.43333333333333335
10.0,18.0,180.0,0.6111111111111112,0.5462962962962963,0.6111111111111112,0.5526455026455026
10.0,18.0,180.0,0.7222222222222222,0.699074074074074,0.7222222222222222,0.6835978835978836
10.0,18.0,180.0,0.5,0.5796296296296296,0.5,0.4876543209876544
10.0,18.0,180.0,0.6666666666666666,0.9583333333333334,0.6666666666666666,0.7447089947089947
10.0,19.0,190.0,0.631578947368421,0.5728070175438598,0.631578947368421,0.5695488721804511
10.0,19.0,190.0,0.5789473684210527,0.6140350877192983,0.5789473684210527,0.5719298245614035
10.0,19.0,190.0,0.631578947368421,0.6342105263157896,0.631578947368421,0.5902255639097745
10.0,19.0,190.0,0.2631578947368421,0.3223684210526316,0.2631578947368421,0.2573099415204678
10.0,19.0,190.0,0.5789473684210527,0.5745614035087719,0.5789473684210527,0.5634085213032581
10.0,19.0,190.0,0.631578947368421,0.6385964912280702,0.631578947368421,0.5833333333333334
10.0,19.0,190.0,0.7368421052631579,0.9122807017543861,0.7368421052631579,0.7940988835725679
10.0,19.0,190.0,0.42105263157894735,0.631578947368421,0.42105263157894735,0.4456140350877193
10.0,19.0,190.0,0.5263157894736842,0.6043859649122808,0.5263157894736842,0.549874686716792
10.0,19.0,190.0,0.631578947368421,0.631578947368421,0.631578947368421,0.5979949874686717
10.0,20.0,200.0,0.55,0.71,0.55,0.5666666666666667
10.0,20.0,200.0,0.6,0.77,0.6,0.6416666666666666
10.0,20.0,200.0,0.85,0.925,0.85,0.8583333333333332
10.0,20.0,200.0,0.7,0.8833333333333332,0.7,0.7250000000000001
10.0,20.0,200.0,0.55,0.6875,0.55,0.5585714285714285
10.0,20.0,200.0,0.55,0.55,0.55,0.5333333333333334
10.0,20.0,200.0,0.45,0.41666666666666663,0.45,0.41309523809523807
10.0,20.0,200.0,0.6,0.7,0.6,0.62
10.0,20.0,200.0,0.65,0.7833333333333333,0.65,0.6680952380952381
10.0,20.0,200.0,0.5,0.45833333333333337,0.5,0.4536796536796537
10.0,21.0,210.0,0.8571428571428571,0.9365079365079364,0.8571428571428571,0.8682539682539683
10.0,21.0,210.0,0.6666666666666666,0.8349206349206348,0.6666666666666666,0.7042328042328043
10.0,21.0,210.0,0.6190476190476191,0.7857142857142857,0.6190476190476191,0.6309523809523809
10.0,21.0,210.0,0.5238095238095238,0.48730158730158735,0.5238095238095238,0.4888888888888888
10.0,21.0,210.0,0.6666666666666666,0.8428571428571429,0.6666666666666666,0.6947845804988663
