K,k,alpha,size,accuracy,precision,recall,f1
10.0,1416.0,1.0,3000.0,0.26666666666666666,0.10689311890150867,0.26666666666666666,0.15058088910495326
10.0,1664.0,1.0,3000.0,0.25666666666666665,0.09890259426325851,0.25666666666666665,0.14190018674469504
10.0,1955.0,1.0,3000.0,0.17666666666666667,0.08939024390243903,0.17666666666666667,0.09847939707929297
10.0,2297.0,1.0,3000.0,0.09666666666666666,0.015036075036075035,0.09666666666666666,0.025929264143857555
10.0,2700.0,1.0,3000.0,0.07666666666666666,0.005877777777777777,0.07666666666666666,0.010918472652218781
10.0,1.0,2.0,3000.0,0.37666666666666665,0.4002780555227861,0.37666666666666665,0.38264981780987567
10.0,2.0,2.0,3000.0,0.37666666666666665,0.4002780555227861,0.37666666666666665,0.38264981780987567
10.0,3.0,2.0,3000.0,0.43666666666666665,0.45416986379595076,0.43666666666666665,0.43789894067237745
10.0,4.0,2.0,3000.0,0.4633333333333333,0.48075018338918646,0.4633333333333333,0.46414765635373373
10.0,5.0,2.0,3000.0,0.46,0.48407353562720745,0.46,0.4623801093374728
10.0,6.0,2.0,3000.0,0.47333333333333333,0.49063526046420836,0.47333333333333333,0.47262854582914815
10.0,8.0,2.0,3000.0,0.4766666666666667,0.49985047787180814,0.4766666666666667,0.4750683520865888
10.0,9.0,2.0,3000.0,0.49333333333333335,0.5166965416239152,0.49333333333333335,0.4911365322435279
10.0,11.0,2.0,3000.0,0.4866666666666667,0.5125635584700803,0.4866666666666667,0.48368843108531495
10.0,13.0,2.0,3000.0,0.4766666666666667,0.4969808422467997,0.4766666666666667,0.4735341762927422
10.0,15.0,2.0,3000.0,0.49666666666666665,0.5255667662945536,0.49666666666666665,0.4934069364034547
10.0,18.0,2.0,3000.0,0.5066666666666667,0.5355404734008683,0.5066666666666667,0.5052732031916015
10.0,21.0,2.0,3000.0,0.51,0.5390836188501924,0.51,0.5077641778415254
10.0,25.0,2.0,3000.0,0.5133333333333333,0.5422394068738606,0.5133333333333333,0.5134312777766176
10.0,29.0,2.0,3000.0,0.5233333333333333,0.543411004002958,0.5233333333333333,0.5196009130207344
10.0,34.0,2.0,3000.0,0.51,0.525588398529575,0.51,0.5072256495098683
10.0,40.0,2.0,3000.0,0.5333333333333333,0.5477482250656693,0.5333333333333333,0.5256146258028378
10.0,47.0,2.0,3000.0,0.54,0.5558542395468933,0.54,0.5319218656014456
10.0,56.0,2.0,3000.0,0.5233333333333333,0.5267027227626079,0.5233333333333333,0.5108355893722824
10.0,66.0,2.0,3000.0,0.5366666666666666,0.5492174813266767,0.5366666666666666,0.5294366632728703
10.0,77.0,2.0,3000.0,0.53,0.5281663827128944,0.53,0.5181655929070971
10.0,91.0,2.0,3000.0,0.5333333333333333,0.5388551977724622,0.5333333333333333,0.5203149122647559
10.0,107.0,2.0,3000.0,0.5533333333333333,0.547285388983969,0.5533333333333333,0.5364195832393257
10.0,126.0,2.0,3000.0,0.5433333333333333,0.537724628981138,0.5433333333333333,0.5250243359277471
10.0,148.0,2.0,3000.0,0.5533333333333333,0.5541478654324398,0.5533333333333333,0.5316917272008468
10.0,174.0,2.0,3000.0,0.5266666666666666,0.5210001180003759,0.5266666666666666,0.49920364718293164
10.0,204.0,2.0,3000.0,0.5233333333333333,0.5138092362739359,0.5233333333333333,0.49945204835632456
10.0,240.0,2.0,3000.0,0.5066666666666667,0.503078386360768,0.5066666666666667,0.4839013933192538
10.0,282.0,2.0,3000.0,0.49666666666666665,0.4830969499379495,0.49666666666666665,0.4718396361174774
10.0,331.0,2.0,3000.0,0.49333333333333335,0.4802835997578553,0.49333333333333335,0.4718973971083135
10.0,389.0,2.0,3000.0,0.49333333333333335,0.4830092499716483,0.49333333333333335,0.47496992980053915
10.0,458.0,2.0,3000.0,0.47333333333333333,0.4600432845376398,0.47333333333333333,0.4497774513293258
