K,k,alpha,size,accuracy,precision,recall,f1
10.0,2500.0,1.0,3000.0,0.19333333333333333,0.06635458028561476,0.19333333333333333,0.08543893472187132
10.0,2600.0,1.0,3000.0,0.18333333333333332,0.10485151368425906,0.18333333333333332,0.08186695855798845
10.0,2700.0,1.0,3000.0,0.08333333333333333,0.006944444444444443,0.08333333333333333,0.01282051282051282
10.0,1.0,30.0,3000.0,0.7833333333333333,0.7839896698558173,0.7833333333333333,0.7830094536956774
10.0,100.0,30.0,3000.0,0.77,0.7675809927501771,0.77,0.7660919280871727
10.0,200.0,30.0,3000.0,0.7633333333333333,0.7613133548035063,0.7633333333333333,0.7592487106100202
10.0,300.0,30.0,3000.0,0.7333333333333333,0.7395900369755022,0.7333333333333333,0.7295068351779522
10.0,400.0,30.0,3000.0,0.7033333333333334,0.7075312444807801,0.7033333333333334,0.6980813684427344
10.0,500.0,30.0,3000.0,0.68,0.6965988651580626,0.68,0.6754310544728788
10.0,600.0,30.0,3000.0,0.6433333333333333,0.6826241584858476,0.6433333333333333,0.6385236437794437
10.0,700.0,30.0,3000.0,0.59,0.6420944291056723,0.59,0.5786177041735507
10.0,800.0,30.0,3000.0,0.5533333333333333,0.6101255948657373,0.5533333333333333,0.5378612426432068
10.0,900.0,30.0,3000.0,0.52,0.5849924115845168,0.52,0.5002161037242455
10.0,1000.0,30.0,3000.0,0.49,0.5625549377285615,0.49,0.4582426078464993
10.0,1100.0,30.0,3000.0,0.4766666666666667,0.5573697526535037,0.4766666666666667,0.4429473560178142
10.0,1200.0,30.0,3000.0,0.4533333333333333,0.5521806457431457,0.4533333333333333,0.41550937329763027
10.0,1300.0,30.0,3000.0,0.42333333333333334,0.5421538845023499,0.42333333333333334,0.385695024638413
10.0,1400.0,30.0,3000.0,0.4033333333333333,0.5523435075953459,0.4033333333333333,0.369368547940331
10.0,1500.0,30.0,3000.0,0.38333333333333336,0.5149449961802903,0.38333333333333336,0.3403730188432154
10.0,1600.0,30.0,3000.0,0.37,0.4936002869066249,0.37,0.31417374972194884
10.0,1700.0,30.0,3000.0,0.33666666666666667,0.4835417903096222,0.33666666666666667,0.2746596341296995
10.0,1800.0,30.0,3000.0,0.32,0.47706303547938317,0.32,0.2606513056841502
10.0,1900.0,30.0,3000.0,0.2966666666666667,0.4848706488383035,0.2966666666666667,0.23084226917324183
10.0,2000.0,30.0,3000.0,0.25333333333333335,0.47841424146082984,0.25333333333333335,0.19113541687071095
10.0,2100.0,30.0,3000.0,0.23,0.32280973715651134,0.23,0.15401113655590956
10.0,2200.0,30.0,3000.0,0.21,0.22123081841432224,0.21,0.12797407057836505
10.0,2300.0,30.0,3000.0,0.2,0.21981534381346648,0.2,0.1177360085265813
10.0,2400.0,30.0,3000.0,0.17333333333333334,0.08100071406256973,0.17333333333333334,0.08253386392073793
10.0,2500.0,30.0,3000.0,0.16333333333333333,0.06628939396732351,0.16333333333333333,0.05740630797773655
10.0,2600.0,30.0,3000.0,0.16,0.028954915003695493,0.16,0.04896114864864865
10.0,2700.0,30.0,3000.0,0.08333333333333333,0.006944444444444443,0.08333333333333333,0.01282051282051282
10.0,1.0,59.0,3000.0,0.7866666666666666,0.7953209084285865,0.7866666666666666,0.7893088049659663
