x,y
-20.743183,55.315823
32.929462,-47.488293
52.080647,26.192848
44.919273,-3.9800448
-27.851768,-28.755102
-7.7425194,-47.35668
12.756909,35.52229
-22.448765,-30.398857
-28.571274,-5.9842367
-32.199165,-9.077229
22.633305,-1.1043438
32.97694,22.00734
-12.151837,23.3189
22.379261,25.155212
-2.6387057,33.77565
-17.318747,53.283955
-13.55967,-1.3395363
7.2906966,-33.196037
-35.397797,-25.903387
29.271378,-51.061172
32.167248,-45.468235
-12.772258,6.271834
-20.412563,-7.27624
-26.490585,20.728363
28.878342,-41.39338
39.407597,40.44591
6.1585336,36.351753
44.103237,-26.882854
-14.435862,2.564581
51.386627,-33.78368
-16.587147,36.210003
19.527523,-4.8939705
-18.500486,3.9095001
-5.621837,8.88387
-43.40818,13.599961
-2.1121051,25.549541
-2.7118154,4.489378
17.274807,-36.435604
-23.250002,-43.763634
-5.466997,43.480488
9.627905,-59.9451
57.834457,5.351158
15.007372,30.631907
-46.331482,30.961405
-55.272606,-18.146616
-19.54649,45.36111
8.463578,-56.2636
18.88946,-18.08123
5.4947324,11.314761
22.491982,-13.010159
-25.455023,-14.488688
-16.106962,-20.022036
-11.578314,-4.0258336
0.4431755,-52.094124
-25.049223,37.478046
-54.830555,-29.571608
-17.911066,-31.36878
1.879824,-59.1318
14.016152,-60.60459
-43.824375,-20.247028
-18.013454,58.783623
-39.71264,-37.075657
35.807907,40.728687
-27.28656,19.345201
-13.251294,22.588406
23.4944,49.97698
63.85328,-22.867928
-35.79596,-23.460155
3.672449,26.664152
-7.08716,-62.860996
39.76218,7.336542
-46.9134,8.132954
-13.31614,25.5688
-28.587774,37.26831
-63.582523,-17.800169
-6.4650264,38.980816
19.717997,-20.118073
20.516708,28.801737
-41.749535,17.663733
19.44238,13.870147
3.358838,6.461191
52.442757,-13.511999
25.17413,-37.19324
-4.0850034,-54.747086
0.19799331,-15.042617
-4.1952543,-48.781155
16.637224,-29.280624
-54.05268,20.783949
-1.3375247,59.91702
-1.6018102,-4.693787
4.858022,43.024067
-17.27467,-55.491116
17.896574,-30.237282
35.68448,22.211382
11.590416,-16.100883
-24.98102,12.020847
32.706387,14.613789
18.891937,-40.799232
-22.744572,16.196865
-40.92252,-37.1769
23.393661,24.55246
-39.870464,-46.608913
60.82488,25.004313
44.659344,-32.721092
24.564415,8.866708
29.21433,-55.780487
-21.744038,20.845678
-48.755074,-9.531456
-29.186348,0.6707864
66.4252,-2.6396525
-15.992201,-4.282698
-20.442019,24.69519
-17.612461,57.827663
-30.950018,19.632692
3.118981,35.88963
26.875359,11.0451765
-61.554596,-16.755867
-13.363139,-57.772884
42.64232,0.80089587
-60.259075,0.275863
-46.953796,-15.29181
16.835196,5.364558
20.69237,40.617977
23.319593,5.4467688
-57.520535,17.710863
16.274439,-51.402153
-38.50653,30.341492
20.187952,-14.353416
1.3246186,41.24261
-22.84608,-40.152946
-5.055665,-20.513313
58.30158,-1.1451303
-18.0662,-32.117443
-42.55751,40.152718
13.533155,-32.53625
16.665634,-53.96188
22.11924,-57.81368
40.58034,10.577198
-0.618622,38.194984
-60.340584,-3.0115526
37.90382,29.802366
22.408924,-4.7133255
13.299442,-22.42069
-22.12482,-32.099087
-22.09445,21.354645
3.6912348,13.29603
-36.560333,-45.814587
-27.024649,17.475346
32.421314,-17.44057
-7.3723063,44.880264
-38.314434,34.611446
-11.749264,-52.902416
49.46421,-41.208054
26.006226,25.551973
-19.63753,-56.368984
-23.349218,-16.10779
48.219723,17.486292
41.27544,10.9720955
-8.0732355,36.855297
-23.404522,14.858859
44.738937,-40.094307
18.9214,56.233368
-27.24941,-44.144054
-25.315708,15.514269
35.644375,-41.41679
38.59701,24.441275
4.8497677,-5.0781507
25.615908,-47.721684
-8.743573,5.0174603
43.415215,-28.427494
38.853233,-22.138874
-51.802868,-31.40138
38.51828,21.436235
16.008043,28.974628
51.08471,-42.413795
-9.940854,15.439488
-6.4913425,38.96535
12.386409,-12.466425
2.452583,-32.470375
-11.742079,-22.799452
-57.62064,8.225862
12.6980915,49.739166
30.494207,-42.90319
18.398241,-2.876916
-14.899484,3.2187693
-49.749813,-9.193281
52.751686,12.562861
15.902016,-28.143667
-13.296367,-8.406914
23.890001,16.520378
-7.002674,32.835163
-51.617733,-7.4041653
-30.575798,-14.495794
-25.194593,-19.389757
9.356883,51.240757
7.8334584,13.49138
-8.40927,16.510578
-36.30864,-1.5993458
31.007322,34.287907
-3.7684486,13.532988
51.147038,-18.24211
-7.035725,-57.93005
-52.627235,-0.71658003
50.601288,21.127417
32.19277,-43.622284
-18.530148,-2.72793
-18.913656,54.116722
-37.704533,-1.1847463
-21.919292,-41.634617
-9.683207,-53.04264
-25.189882,20.89872
-37.852943,16.996313
26.905758,-55.80009
-33.0568,15.454349
12.264759,16.139362
-14.572639,21.394417
-4.2953663,5.6222982
27.427,46.995876
7.453675,-21.272768
-41.94638,-19.711796
26.322968,7.2547336
-25.04812,-24.277256
-46.542,26.471672
28.0714,7.344784
-63.449276,-4.329788
10.385202,-63.784332
-5.136682,-1.0525041
56.58933,21.794926
-6.0875087,-56.29915
-16.886242,-5.3446484
-31.913666,38.460228
23.245634,0.85299915
-7.1345787,45.902668
28.173311,19.322172
16.868963,31.88716
21.36559,12.6771345
13.561711,22.327698
27.814634,9.469859
-23.899754,38.79162
-64.31188,19.952705
-59.430325,-23.712198
16.069769,4.7881923
-7.7463765,1.0298802
-20.93033,-13.739469
15.290608,20.66161
-13.340058,-23.149351
30.895807,20.98496
-1.6747396,62.85185
26.27791,-48.29748
48.2627,23.105602
46.552128,39.885777
14.888883,-34.633274
-62.73526,-17.2861
15.515493,-50.661816
49.57218,12.72198
-41.228596,-24.500847
-22.796923,-7.0279446
23.779446,7.771844
29.55844,5.0622306
-8.493678,-14.839406
2.1220484,56.81083
35.102863,-26.201132
38.417744,-27.609362
-30.380741,-6.4401894
-7.6202993,-5.890106
-9.133587,11.678552
-40.752617,13.348953
-17.179188,-17.063314
28.88315,14.957867
2.4773812,-56.989822
13.67056,-35.681282
-19.142311,-6.7683907
-5.3395205,-28.402369
-65.07932,15.483474
-29.04104,-51.782513
59.754456,-32.5003
-18.896753,46.516018
-25.262634,-29.778507
-10.495946,14.053077
14.559856,32.305737
-13.833326,-27.04716
10.50886,-1.7468503
-34.417618,17.862587
-12.215657,-34.518845
-26.973652,20.181688
-7.009673,5.377944
36.96839,-49.534573
-40.299088,-31.355293
-35.486324,13.190659
-5.125306,-20.079168
-25.105228,34.269672
-13.605976,35.579296
40.149048,6.00979
23.166677,-34.664097
8.270064,-1.2069982
-28.739748,16.90913
36.17299,11.686821
-29.082527,-3.3281155
44.1623,2.0139506
-17.918886,44.27427
-35.224777,8.784663
-9.147449,-33.80467
1.2890975,18.14757
15.218361,40.474075
-21.61228,-51.48013
-20.597427,32.181725
-32.069748,13.545475
-39.22402,49.562763
-7.8416457,31.485022
-20.98971,1.1602591
11.6931095,-13.1871195
5.1787157,9.1603985
-61.12079,15.562809
22.277657,49.42483
-30.62423,-14.472529
-22.073954,-31.66905
-17.902819,42.44463
4.2306023,10.101503
-39.923855,6.563325
18.428118,-63.25188
17.874805,-41.405052
13.918842,18.738558
-67.35122,10.330207
-22.774946,-38.36543
-1.34731,-23.271097
46.660564,42.775764
15.068632,8.407259
16.570805,24.410954
-19.21616,-40.947056
-9.116146,18.459652
-27.021608,8.743598
-30.906744,45.51672
-7.434561,7.8064356
-1.7357265,-12.779329
34.69098,8.822794
-33.421917,-39.087433
17.826176,-30.655231
-54.515205,22.147564
21.412386,-39.68226
13.977014,-18.214502
27.81837,-3.3234787
46.434837,16.369438
-62.43923,-15.122462
-12.491042,54.5538
-20.810814,-7.435331
12.15079,26.185835
42.022705,2.8344715
-22.48525,35.887703
-20.492401,59.261826
-30.885056,-32.199806
8.301964,31.108168
41.252552,21.585627
33.75495,-3.7993464
-10.263214,17.19663
-9.09583,41.87197
22.766874,-33.69465
-29.940617,38.71703
-44.55815,10.599611
-22.306908,-49.987854
-28.039581,-11.543101
-56.18844,26.786953
15.892066,-63.72076
-21.133554,49.113495
-0.7196252,-29.928682
-22.761623,50.649925
-6.282249,30.341045
-11.417077,-50.34023
-44.773067,-15.954132
-4.1485486,42.1294
-35.913578,12.109268
13.896364,-32.621365
-23.79425,0.4608474
8.638704,24.312971
-20.72058,23.337132
-2.1632483,53.139587
37.34011,10.115433
-19.193583,65.635086
1.8045655,-6.341044
-7.829083,11.139919
50.847855,-41.880184
-40.639164,-27.561733
-22.616407,-24.4604
16.009027,-53.33963
32.558086,-8.035217
2.9314122,-0.64021134
-18.541103,-11.855941
-33.27125,28.955816
2.1075995,12.839474
-34.502144,3.397883
37.65508,-14.9371805
-56.53857,-20.55878
-55.50518,-28.144703
45.104706,-29.13209
21.014149,26.74836
8.004054,55.333015
-20.372387,1.7751292
-15.119711,40.01573
32.817543,3.5360606
19.20879,-7.573948
-0.06749194,-16.634678
36.979282,-13.864063
0.865308,42.722424
-2.664294,26.48973
53.952873,44.845436
-29.831316,-55.621872
-17.679735,-57.005257
31.737434,-48.179592
37.636456,-16.443747
0.036919698,-32.878475
-22.59231,-25.62688
22.62453,-21.068195
-53.799084,28.06288
41.544052,-22.20505
-5.055239,28.751873
-15.983044,-25.584173
58.60265,20.844238
4.8108616,49.962505
-0.7065628,-26.059187
37.324722,49.17513
-26.135756,55.019394
30.629885,24.912928
45.452904,-29.41235
28.758245,44.157097
-4.4630694,2.0929592
23.246643,-53.50351
27.275805,-31.35647
5.714522,3.1436749
-18.503712,10.2584
-18.07759,-2.2765934
-58.57324,-13.889556
-55.385094,-28.272049
29.05633,-42.31779
24.590435,-56.760033
-51.4836,31.901234
36.227634,-42.076763
3.2921295,-5.2690473
5.215108,42.739697
2.8240693,45.827488
-47.355793,-17.112076
-8.750819,36.75242
49.987297,-23.222918
48.14437,39.110928
14.26818,-56.114586
42.771484,17.305204
33.12948,-53.785725
-51.693222,-23.400288
26.028135,25.742546
-15.460459,-8.186225
-24.9686,-18.25599
-13.201691,29.467085
-62.478012,4.956767
-65.73879,9.139113
-4.1284466,-33.941753
-13.32073,-3.5639799
-2.118091,23.75186
-41.302185,-24.603134
-10.207462,-9.694051
54.342052,38.986267
13.187678,-6.7417502
12.8876,30.461647
8.477912,18.298567
-6.641647,41.651764
41.068687,30.423573
-5.19805,-1.0441352
42.47154,-35.66633
-45.727085,-11.781374
-39.84995,7.06176
-0.5325892,-14.327945
-20.631622,4.369548
-7.6614904,6.4945884
20.932953,17.445871
47.560413,29.112415
24.65976,34.05789
-10.517499,13.693306
-55.674297,12.56591
-34.481857,-34.08876
1.4383848,-0.01997084
-7.3951807,15.638249
1.6028663,59.828747
39.087513,-46.63979
-12.855435,-43.711666
-4.7557707,-1.632029
-45.448067,-20.742495
32.296326,-42.914608
-10.574398,-18.990868
-0.50296175,39.870003
38.23051,34.117966
-22.303602,-20.133831
11.762132,50.00662
6.8093553,-2.3128352
-18.456825,55.630344
31.553003,-33.69637
25.340881,49.9247
-39.699066,-48.81195
-45.48324,-36.4146
-32.942844,6.106582
7.6280265,35.445854
-7.93649,-50.70972
34.870453,22.817366
35.053913,9.208051
14.171831,49.513954
-24.249111,-31.990124
-10.493743,12.395274
-47.73957,30.142601
-9.4512615,11.385677
-24.007324,-42.455647
-8.958732,-24.418892
-12.988036,4.20378
-30.79336,40.26417
-35.497555,-13.095985
58.382137,20.765554
0.22104114,-4.6438994
-6.0063596,-48.694
-17.998777,-35.384037
-42.436893,-29.491108
-6.7770076,2.338487
-27.878876,32.841496
-53.805958,-6.943221
26.524742,-41.097237
-23.316923,27.668797
31.150444,14.652945
-14.348329,-58.878742
-8.455499,12.229317
57.162804,-20.79076
-2.1871529,5.3990884
19.574953,-52.308945
8.921643,14.687205
31.081614,-28.913092
27.39504,-10.268401
-4.621851,11.324454
13.269046,-13.853588
35.024433,13.047197
11.287993,-2.467307
10.910558,4.5305614
35.141148,-48.774506
-7.324938,50.901543
45.238815,47.820282
39.54558,2.4014118
-55.85916,-14.544358
56.808758,16.785757
20.844952,-47.877087
57.08519,15.114816
22.351835,-4.6509185
-41.81941,26.478022
2.7041035,48.27014
1.7604983,-31.554686
33.86074,-12.788525
42.055634,-20.043777
-59.079124,25.72588
-25.372353,57.946854
37.06347,13.139146
24.327446,30.712967
-27.695232,38.293583
-24.812637,33.89246
38.73392,-9.237556
-12.171125,29.430264
-24.15986,-55.91819
2.809358,-3.1867192
-3.119331,51.663277
-12.6850195,3.9643483
-63.032055,27.64576
21.341043,42.017673
17.942472,-16.348787
-28.660248,-40.26149
-11.200527,-50.16024
0.06127138,-41.996952
-57.133263,-12.689953
-8.328798,16.617378
0.37408313,-14.305923
21.420578,-46.204548
-2.4926,-8.571598
-36.179516,21.26112
27.837307,-46.710217
37.35041,2.3720355
56.98641,12.095077
-32.899765,-16.088537
49.373558,12.522245
-26.979998,39.691746
-57.540867,33.580967
47.144222,22.23341
-44.61987,30.46744
-13.68612,19.099714
-9.938377,4.3833566
50.5083,43.344738
-11.8539505,-25.290672
-20.318121,-29.025856
22.848278,46.858536
-34.66206,-1.8515221
24.144644,-49.704422
-20.464474,3.5308745
22.038164,-10.178335
44.458565,-13.710101
-23.160637,-12.54444
33.552353,53.075024
19.14606,32.96528
31.461061,-5.8624372
24.666983,-12.118283
-21.553377,35.119244
-30.270073,-30.80434
16.345766,29.194935
-53.794064,-28.74337
-20.581781,27.245613
-0.63718086,51.36769
52.38312,30.992586
-2.6027367,3.45023
49.496113,32.120693
30.680925,44.520515
-42.83829,-17.359482
-11.040471,-16.078909
11.163699,5.1101236
24.262087,37.86417
16.156906,-12.832709
46.057636,-33.440075
26.854303,42.608574
-16.678099,-0.69598985
-32.6668,-27.280489
-24.795036,-50.528008
23.248905,-3.406208
-59.54851,-17.132294
24.229185,-56.70338
-27.533491,32.17344
-5.3748803,21.604979
15.605346,18.841589
22.94004,15.118894
-69.69261,5.9076385
-4.563487,-45.95496
56.170673,-0.18613099
-12.096709,56.68459
14.05267,9.903513
-49.04103,27.65019
17.553045,40.19357
-35.8147,26.10609
-32.809357,24.25053
-18.229586,39.372066
18.052195,-3.581389
7.2912335,-28.513443
-6.9344826,-64.11503
16.099134,-16.647425
-34.661945,-32.29655
28.134119,-11.4988575
52.69779,-27.495771
-23.777689,27.006523
20.126516,-27.070116
0.8555487,32.439285
44.92868,10.149529
