size,acc
8140,0.92
8150,0.88
8160,0.88
8170,0.94
8180,0.92
8190,0.92
8200,0.96
8210,0.92
8220,0.88
8230,0.92
8240,0.92
8250,0.94
8260,0.88
8270,0.88
8280,0.88
8290,0.92
8300,0.9
8310,0.9
8320,0.94
8330,0.88
8340,0.9
8350,0.92
8360,0.94
8370,0.96
8380,0.88
8390,0.92
8400,0.92
8410,0.9
8420,0.92
8430,0.9
8440,0.92
8450,0.88
8460,0.96
8470,0.92
8480,0.86
8490,0.94
8500,0.94
8510,0.88
8520,0.9
8530,0.92
8540,0.94
8550,0.9
8560,0.9
8570,0.9
8580,0.92
8590,0.92
8600,0.9
8610,0.94
8620,0.88
8630,0.88
8640,0.9
8650,0.88
8660,0.92
8670,0.88
8680,0.92
8690,0.92
8700,0.92
8710,0.9
8720,0.94
8730,0.94
8740,0.88
8750,0.92
8760,0.84
8770,0.92
8780,0.92
8790,0.9
8800,0.88
8810,0.9
8820,0.9
8830,0.88
8840,0.9
8850,0.88
8860,0.96
8870,0.9
8880,0.86
8890,0.94
8900,0.92
8910,0.94
8920,0.88
8930,0.88
8940,0.94
8950,0.96
8960,0.9
8970,0.88
8980,0.9
8990,0.88
9000,0.94
9010,0.94
9020,0.9
9030,0.9
9040,0.9
9050,0.9
9060,0.9
9070,0.92
9080,0.92
9090,0.92
9100,0.9
9110,0.9
9120,0.92
9130,0.9
9140,0.86
9150,0.92
9160,0.86
9170,0.92
9180,0.98
9190,0.94
9200,0.86
9210,0.88
9220,0.9
9230,0.96
9240,0.92
9250,0.92
9260,0.92
9270,0.86
9280,0.88
9290,0.88
9300,0.86
9310,0.94
9320,0.9
9330,0.96
9340,0.92
9350,0.88
9360,0.94
9370,0.92
9380,0.9
9390,0.92
9400,0.88
9410,0.9
9420,0.9
9430,0.9
9440,0.92
9450,0.9
9460,0.92
9470,0.9
9480,0.88
9490,0.9
9500,0.9
9510,0.9
9520,0.9
9530,0.88
9540,0.88
9550,0.9
9560,0.9
9570,0.9
9580,0.92
9590,0.9
9600,0.92
9610,0.9
9620,0.92
9630,0.88
9640,0.98
9650,0.9
9660,0.88
9670,0.94
9680,0.94
9690,0.88
9700,0.94
9710,0.92
9720,0.88
9730,0.92
9740,0.9
9750,0.9
9760,0.86
9770,0.9
9780,0.94
9790,0.9
9800,0.92
9810,0.9
9820,0.88
9830,0.94
9840,0.92
9850,0.92
9860,0.96
9870,0.9
9880,0.88
9890,0.88
9900,0.94
9910,0.88
9920,0.92
9930,0.94
9940,0.92
9950,0.92
9960,0.92
9970,0.88
9980,0.88
9990,0.92
10000,0.92
